,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
385,luba,75,GQ,1600849357,100,3.46,8.55,75.2,5.82
386,gwadar,0,PK,1600849357,27,25.12,62.33,93.74,2.91
387,batagay-alyta,99,RU,1600849357,62,67.8,130.41,43.63,2.17
388,santa pola,100,ES,1600849143,64,38.19,-0.57,75.99,6.93
389,plettenberg bay,1,ZA,1600849358,50,-34.05,23.37,64.13,3.89
390,kemijarvi,100,FI,1600849358,77,66.71,27.43,43.36,7.14
391,rathkeale,75,IE,1600849358,93,52.52,-8.94,48.99,4.7
392,yining,100,CN,1600849358,86,29.04,114.56,66.74,2.21
393,hachinohe,75,JP,1600849358,77,40.5,141.5,66.2,16.11
394,broome,1,US,1600849358,76,42.25,-75.83,48.2,5.82
395,bogashevo,75,RU,1600849359,81,56.37,85.14,48.99,11.18
396,rawah,0,IQ,1600849359,27,34.48,41.91,92.93,11.92
397,petropavlovka,81,RU,1600849359,47,50.61,105.32,56.14,5.46
398,leh,0,IN,1600849359,24,34.17,77.58,60.98,9.26
399,egvekinot,34,RU,1600849359,86,66.32,-179.17,34.86,0.6
400,lisburn,85,GB,1600849359,81,54.52,-6.04,50.0,3.36
401,itarema,7,BR,1600849359,83,-2.92,-39.92,75.04,13.8
402,madingou,96,CG,1600849359,63,-4.15,13.55,80.11,4.5
403,ponta do sol,40,PT,1600849360,83,32.67,-17.1,75.2,19.46
404,alpena,20,US,1600849360,93,45.06,-83.43,48.2,5.73
405,uruzgan,0,AF,1600849360,14,32.83,66.0,76.62,3.98
406,mandera,100,KE,1600849360,55,3.94,41.87,82.87,13.62
407,vila velha,90,BR,1600849360,78,-20.33,-40.29,71.6,10.29
408,richards bay,0,ZA,1600849360,46,-28.78,32.04,74.14,7.99
409,kaeo,77,NZ,1600849360,85,-35.1,173.78,61.0,5.99
410,horsham,75,GB,1600849361,93,51.06,-0.33,61.0,6.93
411,aklavik,90,CA,1600849361,100,68.22,-135.01,35.6,6.93
412,arraial do cabo,100,BR,1600849361,85,-22.97,-42.03,67.84,16.8
413,villa bruzual,100,VE,1600849361,90,9.33,-69.12,74.17,2.08
414,nuqui,100,CO,1600849361,87,5.71,-77.27,77.47,3.42
415,srednekolymsk,100,RU,1600849361,84,67.45,153.68,41.79,5.39
416,houlton,90,US,1600849162,93,46.13,-67.84,44.6,11.41
417,omboue,100,GA,1600849361,80,-1.57,9.26,76.23,6.15
418,betioky,0,MG,1600849362,36,-23.72,44.38,80.55,9.22
419,colares,75,PT,1600849362,93,38.8,-9.45,69.01,2.24
420,tabas,0,IR,1600849362,16,33.6,56.92,86.0,9.17
421,ucluelet,100,CA,1600849363,90,48.93,-125.55,57.99,3.0
422,verkhnyaya inta,100,RU,1600849363,90,65.98,60.31,41.02,0.89
423,zemio,7,CF,1600849363,86,5.03,25.14,79.45,4.23
424,snyder,90,US,1600849363,100,32.72,-100.92,62.6,1.72
425,winnemucca,1,US,1600849363,21,40.97,-117.74,69.8,5.82
426,olafsvik,96,IS,1600849363,77,64.89,-23.71,37.9,31.47
427,chulman,44,RU,1600849363,53,56.85,124.91,56.89,3.06
428,codrington,64,AU,1600849364,71,-38.27,141.97,48.72,14.34
429,hami,6,CN,1600849364,21,42.8,93.45,79.48,1.28
430,bograd,40,RU,1600849364,76,54.23,90.83,57.2,4.47
431,mazatlan,75,MX,1600849250,88,23.22,-106.42,84.99,3.36
432,gao,33,ML,1600849364,44,16.64,1.64,87.87,6.33
433,atbasar,100,KZ,1600849364,83,51.8,68.33,49.03,30.06
434,komsomolskiy,1,UZ,1600849365,27,40.43,71.72,73.4,4.7
435,road town,97,VG,1600849365,89,18.42,-64.62,82.99,5.01
436,konstantinovka,100,RU,1600849365,78,49.62,127.98,60.1,6.4
437,oakdale,1,US,1600849365,82,44.96,-92.96,64.99,4.7
438,cockburn town,87,TC,1600849365,76,21.46,-71.14,81.93,8.34
439,manicore,100,BR,1600849365,100,-5.81,-61.3,73.4,2.24
440,vardo,31,NO,1600849366,70,70.37,31.11,44.6,19.46
441,taltal,55,CL,1600849366,76,-25.4,-70.48,55.18,0.92
442,nuuk,0,GL,1600849366,85,64.18,-51.72,32.0,14.99
443,gondanglegi,0,ID,1600849366,49,-7.75,112.01,91.62,15.64
444,aasiaat,82,GL,1600849366,93,68.71,-52.87,21.16,8.48
445,los llanos de aridane,100,ES,1600849366,65,28.66,-17.92,77.0,2.24
446,kailua,20,US,1600849126,74,21.4,-157.74,78.8,10.29
447,baijiantan,100,CN,1600849367,23,45.63,85.18,75.45,20.78
448,xian,0,CN,1600849367,50,34.26,108.93,77.0,4.47
449,labuhan,97,ID,1600849367,63,-6.88,112.21,87.28,10.36
450,grivenskaya,0,RU,1600849367,41,45.65,38.18,77.0,12.82
451,kampong chhnang,97,KH,1600849367,64,12.17,104.55,88.56,3.02
452,szigetvar,12,HU,1600849367,77,46.05,17.81,64.4,2.24
453,acapulco,46,MX,1600849218,79,16.86,-99.89,78.85,4.21
454,constitucion,29,CL,1600849367,72,-35.33,-72.42,51.76,5.64
455,kavaratti,0,IN,1600849368,80,10.57,72.64,81.52,19.46
456,hervey bay,100,AU,1600849168,86,-25.3,152.85,73.99,3.0
457,fairlie,72,GB,1600849368,93,55.76,-4.86,46.0,2.24
458,melton mowbray,75,GB,1600849368,93,52.77,-0.89,59.0,6.93
459,santa isabel do rio negro,100,BR,1600849368,98,-0.41,-65.02,73.09,1.57
460,talcahuano,69,CL,1600849368,76,-36.72,-73.12,48.2,6.93
461,bereda,100,ES,1600849368,100,43.27,-7.54,62.01,8.99
462,mahebourg,40,MU,1600849369,61,-20.41,57.7,77.0,11.41
463,salinopolis,28,BR,1600849369,84,-0.61,-47.36,77.54,11.05
464,honiara,75,SB,1600849369,88,-9.43,159.95,80.6,3.36
465,disna,0,BY,1600849369,72,55.57,28.2,63.86,7.78
466,la asuncion,98,VE,1600849369,84,11.03,-63.86,81.82,14.32
467,roma,90,US,1600849369,93,43.21,-75.46,48.0,4.5
468,lalmohan,100,BD,1600849369,78,22.34,90.74,85.42,10.16
469,honningsvag,20,NO,1600849369,61,70.98,25.97,46.4,10.29
470,thunder bay,5,CA,1600849276,100,48.4,-89.32,48.99,3.36
471,cabo rojo,100,PR,1600849370,92,18.09,-67.15,77.0,1.99
472,parfino,17,RU,1600849370,71,57.97,31.65,60.42,6.76
473,angleton,90,US,1600849370,94,29.17,-95.43,75.2,4.7
474,bathsheba,20,BB,1600849370,78,13.22,-59.52,82.4,10.29
475,summerville,1,US,1600849287,93,33.02,-80.18,53.6,1.54
476,beyneu,2,KZ,1600849370,23,45.32,55.2,69.04,7.54
477,mingshui,90,CN,1600849370,69,36.72,117.5,73.4,6.71
478,nouadhibou,0,MR,1600849371,83,20.93,-17.03,73.4,9.17
479,atar,28,MR,1600849371,33,20.52,-13.05,90.57,2.98
480,pascagoula,75,US,1600849371,83,30.37,-88.56,69.8,4.7
481,angoram,98,PG,1600849371,79,-4.06,144.07,81.36,5.01
482,shubarshi,44,KZ,1600849371,37,48.59,57.19,68.7,24.47
483,talaja,100,IN,1600849371,75,21.35,72.05,85.08,10.0
484,kerrville,90,US,1600849335,88,30.05,-99.14,70.0,5.82
485,abonnema,40,NG,1600849371,94,4.71,6.79,75.2,7.56
486,peterhead,31,GB,1600849372,75,57.51,-1.8,50.0,9.17
487,kargat,93,RU,1600849372,67,55.2,80.28,49.3,17.2
488,lagoa,100,PT,1600849372,72,39.05,-27.98,65.82,25.28
489,san jose,20,US,1600849247,82,37.34,-121.89,61.0,0.87
490,san andres,20,CO,1600849372,78,12.58,-81.7,82.4,3.36
491,pangody,98,RU,1600849372,70,65.85,74.49,42.94,14.9
492,havre-saint-pierre,90,CA,1600849372,100,50.23,-63.6,46.4,8.05
493,laje,91,BR,1600849372,85,-10.18,-40.97,66.63,8.28
494,karachi,89,PK,1600849273,44,24.91,67.08,98.6,11.41
495,sorong,100,ID,1600849373,80,-0.88,131.25,81.95,11.16
496,borgarnes,75,IS,1600849373,64,64.54,-21.92,39.2,16.11
497,belaya gora,45,RU,1600849373,72,68.53,146.42,44.47,7.14
498,rapid valley,1,US,1600849090,42,44.06,-103.15,66.99,11.41
499,palekh,1,RU,1600849373,70,56.8,41.86,59.67,6.04
500,buraydah,0,SA,1600849373,19,26.33,43.98,98.6,9.17
501,valparaiso,96,CL,1600849373,72,-33.04,-71.63,52.0,9.6
502,sao jose da coroa grande,60,BR,1600849373,81,-8.9,-35.15,74.71,9.93
503,ilorin,100,NG,1600849374,84,8.5,4.55,77.0,5.48
504,shache,16,CN,1600849374,15,38.42,77.24,81.39,7.43
505,sarangani,100,PH,1600849374,66,5.4,125.46,85.55,5.93
506,lahij,90,YE,1600849374,28,13.17,44.58,96.93,9.31
507,osiao,44,PH,1600849374,76,13.09,123.98,84.22,7.09
508,san nicolas,75,PH,1600849374,74,18.17,120.6,87.8,11.41
509,port moresby,40,PG,1600849374,88,-9.44,147.18,80.6,11.41
510,tuzha,100,RU,1600849375,56,57.61,47.94,52.99,13.22
511,charyshskoye,3,RU,1600849375,51,51.4,83.56,51.64,17.11
512,sur,100,OM,1600849375,33,22.57,59.53,93.18,9.33
513,jackson,1,US,1600849203,58,42.42,-122.83,57.2,6.93
514,cuamba,17,MZ,1600849375,34,-14.8,36.54,84.54,7.56
515,koster,3,ZA,1600849375,47,-25.86,26.9,63.3,8.93
516,killam,42,CA,1600849375,80,52.78,-111.85,52.02,10.83
517,madera,0,US,1600849375,38,37.17,-119.83,66.99,3.38
518,kaliua,6,TZ,1600849376,30,-5.06,31.79,83.73,9.24
519,mwinilunga,0,ZM,1600849376,29,-11.74,24.43,80.29,9.64
520,vanimo,82,PG,1600849376,72,-2.67,141.3,82.89,5.28
521,kibuye,75,RW,1600849376,72,-2.06,29.35,68.0,6.93
522,general roca,0,AR,1600849376,42,-39.03,-67.58,50.0,1.99
523,tartagal,0,AR,1600849376,59,-22.52,-63.8,58.89,3.31
524,abha,49,SA,1600849376,11,18.22,42.51,80.6,23.04
525,cheremshan,100,RU,1600849377,74,54.67,51.5,56.16,16.71
526,vuktyl,83,RU,1600849377,81,63.86,57.31,46.24,9.78
527,santa ines,18,BR,1600849235,98,-3.67,-45.38,71.53,1.16
528,lyngseidet,99,NO,1600849377,72,69.58,20.22,44.6,20.8
529,vestmannaeyjar,75,IS,1600849208,80,63.44,-20.27,39.2,9.17
530,machiques,100,VE,1600849377,77,10.06,-72.55,75.63,3.36
531,boa vista,100,BR,1600849377,78,2.82,-60.67,80.6,4.7
532,nyurba,0,RU,1600849377,51,63.28,118.33,59.41,5.08
533,itoman,75,JP,1600849377,83,26.12,127.67,82.4,2.24
534,jaicos,0,BR,1600849378,72,-7.36,-41.14,71.71,5.75
535,san patricio,100,MX,1600849378,86,19.22,-104.7,76.62,4.76
536,monywa,75,MM,1600849378,64,22.12,95.13,90.72,9.8
537,ushumun,100,RU,1600849378,81,52.78,126.53,52.2,10.33
538,dawson,1,US,1600849378,82,31.77,-84.45,66.2,4.99
539,dharchula,57,IN,1600849378,49,29.85,80.53,82.22,6.71
540,ongandjera,0,NA,1600849379,15,-17.88,15.07,83.17,9.01
541,desaguadero,0,PE,1600849379,61,-16.57,-69.04,41.34,1.41
542,yerbogachen,0,RU,1600849379,56,61.28,108.01,58.26,5.61
543,altus,90,US,1600849379,93,34.64,-99.33,66.2,2.98
544,sapa,88,PH,1600849379,70,5.15,120.32,84.88,3.04
545,adrar,0,MR,1600849379,17,20.5,-10.07,92.5,2.13
546,sinnamary,86,GF,1600849379,88,5.38,-52.95,76.03,10.94
547,wau,12,SS,1600849380,73,7.7,28.0,83.52,4.56
548,juba,100,SS,1600849380,87,4.85,31.58,73.9,0.74
549,victoria,97,HK,1600849380,66,22.29,114.16,87.01,13.0
550,lac du bonnet,11,CA,1600849380,99,50.25,-96.06,55.99,3.0
